time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              10.00          10             
1000         0.29    472            259            0              16844          255244         1              1              10.00          10             
2000         0.17    736            273            0              16844          328976         1              1              10.00          10             
3000         0.12    736            273            0              16844          328976         1              1              10.00          10             
4000         0.091   736            273            0              16844          328976         1              1              10.00          10             
5000         0.074   736            273            0              16844          328976         1              1              10.00          10             
6000         0.064   736            273            0              16844          328976         1              1              10.00          10             
7000         0.057   736            273            0              16844          328976         1              1              10.00          10             
8000         0.051   736            273            0              16844          328976         1              1              10.00          10             
9000         0.047   736            273            0              16844          328976         1              1              10.00          10             
10000        0.043   736            273            0              16844          328976         1              1              10.00          10             
11000        0.04    736            273            0              16844          328976         1              1              10.00          10             
12000        0.037   736            273            0              16844          328976         1              1              10.00          10             
13000        0.035   736            273            0              16844          328976         1              1              10.00          10             
14000        0.033   736            273            0              16844          328976         1              1              10.00          10             
15000        0.032   736            273            0              16844          328976         1              1              10.00          10             
16000        0.03    736            273            0              16844          328976         1              1              10.00          10             
