time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              10.00          10             
1000         0.58    1684           605            0              17328          476836         1              4              10.00          10             
2000         0.36    2344           643            0              17328          771764         1              4              10.00          10             
3000         0.24    2344           643            0              17328          771764         1              4              10.00          10             
4000         0.18    2344           643            0              17328          771764         1              4              10.00          10             
5000         0.15    2344           643            0              17328          771764         1              4              10.00          10             
6000         0.13    2344           643            0              17328          771764         1              4              10.00          10             
7000         0.11    2344           643            0              17328          771764         1              4              10.00          10             
8000         0.098   2344           643            0              17328          771764         1              4              10.00          10             
9000         0.088   2344           643            0              17328          771764         1              4              10.00          10             
10000        0.08    2344           643            0              17328          771764         1              4              10.00          10             
11000        0.074   2344           643            0              17328          771764         1              4              10.00          10             
12000        0.069   2344           643            0              17328          771764         1              4              10.00          10             
13000        0.064   2344           643            0              17328          771764         1              4              10.00          10             
14000        0.061   2344           643            0              17328          771764         1              4              10.00          10             
15000        0.057   2344           643            0              17328          771764         1              4              10.00          10             
16000        0.054   2344           643            0              17328          771764         1              4              10.00          10             
