time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              10.00          10             
1000         0.34    676            366            0              16672          329112         1              2              10.00          10             
2000         0.2     1072           384            0              16672          476576         1              2              10.00          10             
3000         0.14    1072           384            0              16672          476576         1              2              10.00          10             
4000         0.1     1072           384            0              16672          476576         1              2              10.00          10             
5000         0.085   1072           384            0              16672          476576         1              2              10.00          10             
6000         0.073   1072           384            0              16672          476576         1              2              10.00          10             
7000         0.064   1072           384            0              16672          476576         1              2              10.00          10             
8000         0.057   1072           384            0              16672          476576         1              2              10.00          10             
9000         0.052   1072           384            0              16672          476576         1              2              10.00          10             
10000        0.048   1072           384            0              16672          476576         1              2              10.00          10             
11000        0.045   1072           384            0              16672          476576         1              2              10.00          10             
12000        0.042   1072           384            0              16672          476576         1              2              10.00          10             
13000        0.039   1072           384            0              16672          476576         1              2              10.00          10             
14000        0.038   1072           384            0              16672          476576         1              2              10.00          10             
15000        0.036   1072           384            0              16672          476576         1              2              10.00          10             
16000        0.035   1072           384            0              16672          476576         1              2              10.00          10             
