time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              10.00          10             
1000         0.39    1028           486            0              16772          402976         1              3              10.00          10             
2000         0.27    1556           521            0              16772          624172         1              3              10.00          10             
3000         0.19    1556           521            0              16772          624172         1              3              10.00          10             
4000         0.15    1556           521            0              16772          624172         1              3              10.00          10             
5000         0.12    1556           521            0              16772          624172         1              3              10.00          10             
6000         0.1     1556           521            0              16772          624172         1              3              10.00          10             
7000         0.089   1556           521            0              16772          624172         1              3              10.00          10             
8000         0.08    1556           521            0              16772          624172         1              3              10.00          10             
9000         0.072   1556           521            0              16772          624172         1              3              10.00          10             
10000        0.066   1556           521            0              16772          624172         1              3              10.00          10             
11000        0.062   1556           521            0              16772          624172         1              3              10.00          10             
12000        0.058   1556           521            0              16772          624172         1              3              10.00          10             
13000        0.055   1556           521            0              16772          624172         1              3              10.00          10             
14000        0.052   1556           521            0              16772          624172         1              3              10.00          10             
15000        0.05    1556           521            0              16772          624172         1              3              10.00          10             
16000        0.047   1556           521            0              16772          624172         1              3              10.00          10             
