time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              10.00          10             
1000         0.41    748            372            0              18908          329112         1              2              10.00          10             
2000         0.31    1144           399            0              23004          476576         1              2              10.00          10             
3000         0.21    1144           399            0              23004          476576         1              2              10.00          10             
4000         0.16    1144           399            0              23004          476576         1              2              10.00          10             
5000         0.13    1144           399            0              23004          476576         1              2              10.00          10             
6000         0.11    1144           399            0              23004          476576         1              2              10.00          10             
7000         0.097   1144           399            0              23004          476576         1              2              10.00          10             
8000         0.086   1144           399            0              23004          476576         1              2              10.00          10             
9000         0.078   1144           399            0              23004          476576         1              2              10.00          10             
10000        0.071   1144           399            0              23004          476576         1              2              10.00          10             
11000        0.065   1144           399            0              23004          476576         1              2              10.00          10             
12000        0.061   1144           399            0              23004          476576         1              2              10.00          10             
13000        0.057   1144           399            0              23004          476576         1              2              10.00          10             
14000        0.053   1144           399            0              23004          476576         1              2              10.00          10             
15000        0.051   1144           399            0              23004          476576         1              2              10.00          10             
16000        0.048   1144           399            0              23004          476576         1              2              10.00          10             
