time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              10.00          10             
1000         0.55    1388           725            0              17436          550568         1              5              10.00          10             
2000         0.39    2312           787            0              19484          919360         1              5              10.00          10             
3000         0.27    2312           787            0              19484          919360         1              5              10.00          10             
4000         0.2     2312           787            0              19484          919360         1              5              10.00          10             
5000         0.16    2312           787            0              19484          919360         1              5              10.00          10             
6000         0.14    2312           787            0              19484          919360         1              5              10.00          10             
7000         0.12    2312           787            0              19484          919360         1              5              10.00          10             
8000         0.11    2312           787            0              19484          919360         1              5              10.00          10             
9000         0.097   2312           787            0              19484          919360         1              5              10.00          10             
10000        0.088   2312           787            0              19484          919360         1              5              10.00          10             
11000        0.081   2312           787            0              19484          919360         1              5              10.00          10             
12000        0.075   2312           787            0              19484          919360         1              5              10.00          10             
13000        0.07    2312           787            0              19484          919360         1              5              10.00          10             
14000        0.066   2312           787            0              19484          919360         1              5              10.00          10             
15000        0.062   2312           787            0              19484          919360         1              5              10.00          10             
16000        0.059   2312           787            0              19484          919360         1              5              10.00          10             
