time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              10.00          10             
1000         0.61    1612           714            0              17104          550568         1              5              10.00          10             
2000         0.42    2536           760            0              19152          919360         1              5              10.00          10             
3000         0.28    2536           760            0              19152          919360         1              5              10.00          10             
4000         0.21    2536           760            0              19152          919360         1              5              10.00          10             
5000         0.17    2536           760            0              19152          919360         1              5              10.00          10             
6000         0.15    2536           760            0              19152          919360         1              5              10.00          10             
7000         0.13    2536           760            0              19152          919360         1              5              10.00          10             
8000         0.11    2536           760            0              19152          919360         1              5              10.00          10             
9000         0.1     2536           760            0              19152          919360         1              5              10.00          10             
10000        0.095   2536           760            0              19152          919360         1              5              10.00          10             
11000        0.087   2536           760            0              19152          919360         1              5              10.00          10             
12000        0.081   2536           760            0              19152          919360         1              5              10.00          10             
13000        0.076   2536           760            0              19152          919360         1              5              10.00          10             
14000        0.072   2536           760            0              19152          919360         1              5              10.00          10             
15000        0.068   2536           760            0              19152          919360         1              5              10.00          10             
16000        0.065   2536           760            0              19152          919360         1              5              10.00          10             
