time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              10.00          10             
1000         0.49    404            257            0              21228          255244         1              1              10.00          10             
2000         0.28    668            272            0              21228          328976         1              1              10.00          10             
3000         0.19    668            272            0              21228          328976         1              1              10.00          10             
4000         0.14    668            272            0              21228          328976         1              1              10.00          10             
5000         0.12    668            272            0              21228          328976         1              1              10.00          10             
6000         0.099   668            272            0              21228          328976         1              1              10.00          10             
7000         0.086   668            272            0              21228          328976         1              1              10.00          10             
8000         0.076   668            272            0              21228          328976         1              1              10.00          10             
9000         0.069   668            272            0              21228          328976         1              1              10.00          10             
10000        0.063   668            272            0              21228          328976         1              1              10.00          10             
11000        0.058   668            272            0              21228          328976         1              1              10.00          10             
12000        0.054   668            272            0              21228          328976         1              1              10.00          10             
13000        0.05    668            272            0              21228          328976         1              1              10.00          10             
14000        0.048   668            272            0              21228          328976         1              1              10.00          10             
15000        0.045   668            272            0              21228          328976         1              1              10.00          10             
16000        0.043   668            272            0              21228          328976         1              1              10.00          10             
