time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              100.00         10             
1000         0.64    1936           713            0              17124          550596         1              4              100.00         10             
2000         15      3268           982            0              19432          919256         1              4              100.00         10             
3000         16      3304           1204           0              19688          919256         1              4              100.00         10             
4000         16      3496           1396           0              19952          919256         1              4              100.00         10             
5000         16      3684           1584           0              19952          919256         1              4              100.00         10             
6000         16      3924           1771           0              20236          919256         1              4              100.00         10             
7000         16      4056           1959           0              20500          919256         1              4              100.00         10             
8000         17      4356           2148           0              20768          919256         1              4              100.00         10             
9000         17      4444           2335           0              20768          919256         1              4              100.00         10             
10000        17      4664           2523           0              21028          919256         1              4              100.00         10             
11000        18      4808           2710           0              21292          919256         1              4              100.00         10             
