time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         0.62    2988           833            0              19368          624460         1              5              100.00         10             
2000         10      4112           1189           0              21676          1066852        1              5              100.00         10             
3000         15      4300           1469           0              21776          1066852        1              5              100.00         10             
4000         16      4556           1712           0              22124          1066852        1              5              100.00         10             
5000         17      4752           1948           0              22388          1066852        1              5              100.00         10             
6000         17      5000           2183           0              22708          1066852        1              5              100.00         10             
7000         18      5268           2418           0              22972          1066852        1              5              100.00         10             
8000         19      5460           2651           0              23236          1066852        1              5              100.00         10             
9000         19      5692           2886           0              23500          1066852        1              5              100.00         10             
10000        19      5928           3120           0              23764          1066852        1              5              100.00         10             
11000        19      6164           3355           0              24028          1066852        1              5              100.00         10             
