time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              100.00         10             
1000         0.37    676            358            0              18992          329108         1              1              100.00         10             
2000         2.9     1136           446            0              18992          476572         1              1              100.00         10             
3000         3.8     1188           494            0              18992          476572         1              1              100.00         10             
4000         4.2     1236           541            0              18992          476572         1              1              100.00         10             
5000         4.3     1280           588            0              19252          476572         1              1              100.00         10             
6000         4.3     1328           635            0              19252          476572         1              1              100.00         10             
7000         4.4     1376           682            0              19252          476572         1              1              100.00         10             
8000         4.5     1420           729            0              19252          476572         1              1              100.00         10             
9000         4.5     1468           776            0              19252          476572         1              1              100.00         10             
10000        4.6     1516           823            0              19252          476572         1              1              100.00         10             
11000        4.6     1564           870            0              19516          476572         1              1              100.00         10             
