time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              100.00         10             
1000         0.43    1376           481            0              16964          402996         1              2              100.00         10             
2000         4.5     2040           638            0              19012          624192         1              2              100.00         10             
3000         6.2     2040           748            0              19012          624192         1              2              100.00         10             
4000         7       2040           843            0              19272          624192         1              2              100.00         10             
5000         7.6     2104           938            0              19272          624192         1              2              100.00         10             
6000         7.8     2200           1032           0              19536          624192         1              2              100.00         10             
7000         8       2292           1126           0              19536          624192         1              2              100.00         10             
8000         8.3     2384           1218           0              19536          624192         1              2              100.00         10             
9000         8.8     2584           1309           0              19800          624192         1              2              100.00         10             
10000        9.6     2652           1398           0              19800          624192         1              2              100.00         10             
11000        11      2728           1470           0              19800          624192         1              2              100.00         10             
