Time[ms]    Caller                   Code  Description         
2           service_2->node_2        3     msgs 4294967295 to 8589934590 lost.
11          service_2->node_2        3     msgs 0 to 4294967295 lost.
21          service_2->node_2        3     msgs 1 to 4294967296 lost.
31          service_2->node_2        3     msgs 2 to 4294967297 lost.
41          service_2->node_2        3     msgs 3 to 4294967298 lost.
51          service_2->node_2        3     msgs 4 to 4294967299 lost.
61          service_2->node_2        3     msgs 5 to 4294967300 lost.
71          service_2->node_2        3     msgs 6 to 4294967301 lost.
81          service_2->node_2        3     msgs 7 to 4294967302 lost.
92          service_2->node_2        3     msgs 8 to 4294967303 lost.
94          service_2->node_0        1     msg 9 late. 2673us > 2000us
102         service_2->node_2        3     msgs 9 to 4294967304 lost.
111         service_2->node_2        3     msgs 10 to 4294967305 lost.
121         service_2->node_2        3     msgs 11 to 4294967306 lost.
132         service_2->node_2        3     msgs 12 to 4294967307 lost.
132         service_2->node_2        1     msg 13 late. 2092us > 2000us
133         service_2->node_1        1     msg 13 late. 2501us > 2000us
142         service_2->node_2        3     msgs 13 to 4294967308 lost.
151         service_2->node_2        3     msgs 14 to 4294967309 lost.
161         service_2->node_2        3     msgs 15 to 4294967310 lost.
171         service_2->node_2        3     msgs 16 to 4294967311 lost.
181         service_2->node_2        3     msgs 17 to 4294967312 lost.
191         service_2->node_2        3     msgs 18 to 4294967313 lost.
201         service_2->node_2        3     msgs 19 to 4294967314 lost.
211         service_2->node_2        3     msgs 20 to 4294967315 lost.
221         service_2->node_2        3     msgs 21 to 4294967316 lost.
231         service_2->node_2        3     msgs 22 to 4294967317 lost.
242         service_2->node_1        1     msg 24 late. 2158us > 2000us
243         service_2->node_2        3     msgs 23 to 4294967318 lost.
251         service_2->node_2        3     msgs 24 to 4294967319 lost.
261         service_2->node_2        3     msgs 25 to 4294967320 lost.
273         service_2->node_1        1     msg 27 late. 3346us > 2000us
273         service_2->node_2        3     msgs 26 to 4294967321 lost.
273         service_2->node_2        1     msg 27 late. 2289us > 2000us
274         service_2->node_0        1     msg 27 late. 2655us > 2000us
281         service_2->node_2        3     msgs 27 to 4294967322 lost.
291         service_2->node_2        3     msgs 28 to 4294967323 lost.
301         service_2->node_2        3     msgs 29 to 4294967324 lost.
311         service_2->node_2        3     msgs 30 to 4294967325 lost.
322         service_2->node_2        3     msgs 31 to 4294967326 lost.
331         service_2->node_2        3     msgs 32 to 4294967327 lost.
342         service_2->node_1        1     msg 34 late. 2143us > 2000us
343         service_2->node_2        3     msgs 33 to 4294967328 lost.
352         service_2->node_2        3     msgs 34 to 4294967329 lost.
361         service_2->node_2        3     msgs 35 to 4294967330 lost.
371         service_2->node_2        3     msgs 36 to 4294967331 lost.
