time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              100.00         10             
1001         0.8     1252           580            0              19024          476728         1              3              100.00         10             
2000         11      2372           767            0              19600          771656         1              3              100.00         10             
3000         13      2440           911            0              19600          771656         1              3              100.00         10             
4000         15      2512           1052           0              19860          771656         1              3              100.00         10             
5000         16      2668           1193           0              20020          771656         1              3              100.00         10             
6002         18      2932           1329           0              20020          771656         1              3              100.00         10             
7001         19      3008           1467           0              20352          771656         1              3              100.00         10             
8000         21      3164           1596           0              20396          771656         1              3              100.00         10             
9000         22      3232           1732           0              20396          771656         1              3              100.00         10             
10000        22      3412           1871           0              20652          771656         1              3              100.00         10             
11000        22      3548           2007           0              20656          771656         1              3              100.00         10             
