time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              100.00         10             
1000         1.9     1040           469            0              16840          402996         1              2              100.00         10             
2000         7.6     1884           621            0              18944          624192         1              2              100.00         10             
3000         9.5     1988           725            0              18944          624192         1              2              100.00         10             
4000         11      1988           815            0              19204          624192         1              2              100.00         10             
5000         11      2144           905            0              19204          624192         1              2              100.00         10             
6000         10      2264           998            0              19468          624192         1              2              100.00         10             
7000         11      2340           1090           0              19468          624192         1              2              100.00         10             
8000         11      2420           1184           0              19468          624192         1              2              100.00         10             
9000         11      2504           1277           0              19468          624192         1              2              100.00         10             
10000        10      2544           1370           0              19732          624192         1              2              100.00         10             
11000        10      2692           1464           0              19732          624192         1              2              100.00         10             
