time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              100.00         10             
1000         0.59    2528           717            0              17224          550596         1              4              100.00         10             
2000         8.8     3628           1007           0              19532          919256         1              4              100.00         10             
3000         13      3856           1228           0              19532          919256         1              4              100.00         10             
4000         15      3900           1421           0              19796          919256         1              4              100.00         10             
5000         16      4264           1608           0              20132          919256         1              4              100.00         10             
6000         16      4276           1796           0              20132          919256         1              4              100.00         10             
7000         17      4464           1983           0              20392          919256         1              4              100.00         10             
8000         17      4692           2170           0              20624          919256         1              4              100.00         10             
9000         17      4836           2357           0              20880          919256         1              4              100.00         10             
10000        17      5136           2545           0              20880          919256         1              4              100.00         10             
11000        17      5208           2732           0              21144          919256         1              4              100.00         10             
