time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         0.73    1812           824            0              17044          624460         1              5              100.00         10             
2000         8.8     3000           1185           0              19352          1066852        1              5              100.00         10             
3000         13      3408           1462           0              19616          1066852        1              5              100.00         10             
4000         15      3640           1704           0              19880          1066852        1              5              100.00         10             
5000         15      3872           1938           0              20144          1066852        1              5              100.00         10             
6000         16      4108           2173           0              20408          1066852        1              5              100.00         10             
7000         17      4340           2406           0              20408          1066852        1              5              100.00         10             
8000         17      4576           2642           0              20736          1066852        1              5              100.00         10             
9000         17      4812           2876           0              21000          1066852        1              5              100.00         10             
10000        18      5048           3112           0              21264          1066852        1              5              100.00         10             
11000        18      5284           3345           0              21528          1066852        1              5              100.00         10             
