time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              100.00         10             
1000         0.79    2168           594            0              16736          476728         1              3              100.00         10             
2000         7.8     2892           814            0              17092          771656         1              3              100.00         10             
3000         12      2960           956            0              17352          771656         1              3              100.00         10             
4000         13      3060           1097           0              17352          771656         1              3              100.00         10             
5000         15      3292           1237           0              17616          771656         1              3              100.00         10             
6000         15      3404           1377           0              17616          771656         1              3              100.00         10             
7000         16      3580           1518           0              17880          771656         1              3              100.00         10             
8000         16      3744           1657           0              17880          771656         1              3              100.00         10             
9000         17      3836           1795           0              18144          771656         1              3              100.00         10             
10000        17      3980           1935           0              18380          771656         1              3              100.00         10             
11000        18      4112           2069           0              18528          771656         1              3              100.00         10             
