time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              100.00         10             
1000         4       1028           412            0              15980          476588         1              1              100.00         10             
2000         4.3     1164           424            0              15980          476588         1              1              100.00         10             
3000         4.3     1164           424            0              15980          476588         1              1              100.00         10             
4000         4.3     1164           424            0              15980          476588         1              1              100.00         10             
5000         4.1     1164           424            0              15980          476588         1              1              100.00         10             
6000         4.2     1164           424            0              15980          476588         1              1              100.00         10             
7000         4.1     1164           424            0              15980          476588         1              1              100.00         10             
8000         4.1     1164           424            0              15980          476588         1              1              100.00         10             
9000         4.1     1164           424            0              15980          476588         1              1              100.00         10             
10000        4       1164           424            0              15980          476588         1              1              100.00         10             
