time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              100.00         10             
1000         2.8     1036           409            0              16740          476592         1              1              100.00         10             
2000         3.2     1172           418            0              16740          476592         1              1              100.00         10             
3000         3.4     1172           418            0              16740          476592         1              1              100.00         10             
4000         3.5     1172           418            0              16740          476592         1              1              100.00         10             
5000         3.6     1172           418            0              16740          476592         1              1              100.00         10             
6000         3.7     1172           418            0              16740          476592         1              1              100.00         10             
7000         3.7     1172           418            0              16740          476592         1              1              100.00         10             
8000         3.7     1172           418            0              16740          476592         1              1              100.00         10             
9000         3.8     1172           418            0              16740          476592         1              1              100.00         10             
10000        3.8     1172           418            0              16740          476592         1              1              100.00         10             
