time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              100.00         10             
1000         7.7     2492           805            0              17496          919376         1              4              100.00         10             
2000         7.3     2624           822            0              17496          919376         1              4              100.00         10             
3000         7       2624           822            0              17496          919376         1              4              100.00         10             
4000         7.2     2624           822            0              17496          919376         1              4              100.00         10             
5000         7.4     2624           822            0              17496          919376         1              4              100.00         10             
6000         7.5     2624           822            0              17496          919376         1              4              100.00         10             
7000         7.6     2624           822            0              17496          919376         1              4              100.00         10             
8000         7.4     2624           822            0              17496          919376         1              4              100.00         10             
9000         7.2     2624           822            0              17496          919376         1              4              100.00         10             
10000        7.1     2624           822            0              17496          919376         1              4              100.00         10             
