time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         5.7     3244           942            0              17320          1066840        1              5              100.00         10             
2000         5.5     3376           957            0              17320          1066840        1              5              100.00         10             
3000         5.3     3376           957            0              17320          1066840        1              5              100.00         10             
4000         5.3     3376           957            0              17320          1066840        1              5              100.00         10             
5000         5.7     3376           957            0              17320          1066840        1              5              100.00         10             
6000         6       3376           957            0              17320          1066840        1              5              100.00         10             
7000         6       3376           957            0              17320          1066840        1              5              100.00         10             
8000         5.9     3376           957            0              17320          1066840        1              5              100.00         10             
9000         6       3376           957            0              17320          1066840        1              5              100.00         10             
10000        6.2     3376           957            0              17320          1066840        1              5              100.00         10             
