time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              100.00         10             
1000         5.2     2212           669            0              17008          771780         1              3              100.00         10             
2000         4.9     2344           677            0              17008          771780         1              3              100.00         10             
3000         5.1     2344           872            0              17008          771780         1              3              100.00         10             
4000         5.4     2344           807            0              17008          771780         1              3              100.00         10             
5000         5.5     2344           677            0              17008          771780         1              3              100.00         10             
6000         5.7     2344           744            0              17008          771780         1              3              100.00         10             
7000         5.7     2344           810            0              17008          771780         1              3              100.00         10             
8000         5.8     2344           872            0              17008          771780         1              3              100.00         10             
9000         5.8     2344           744            0              17008          771780         1              3              100.00         10             
10000        5.7     2344           677            0              17008          771780         1              3              100.00         10             
