time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              100.00         10             
1000         4.6     1384           541            0              16772          624188         1              2              100.00         10             
2000         5.2     1532           553            0              16772          624188         1              2              100.00         10             
3000         4.8     1532           553            0              16772          624188         1              2              100.00         10             
4000         4.7     1532           553            0              16772          624188         1              2              100.00         10             
5000         4.4     1532           553            0              16772          624188         1              2              100.00         10             
6000         4.3     1532           553            0              16772          624188         1              2              100.00         10             
7000         4.2     1532           553            0              16772          624188         1              2              100.00         10             
8000         4.3     1532           553            0              16772          624188         1              2              100.00         10             
9000         4.4     1532           553            0              16772          624188         1              2              100.00         10             
10000        4.4     1532           553            0              16772          624188         1              2              100.00         10             
