time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              100.00         10             
1000         8       2576           805            0              17324          919380         1              4              100.00         10             
2000         8       2712           821            0              17324          919380         1              4              100.00         10             
3000         7.5     2712           821            0              17324          919380         1              4              100.00         10             
4000         7.6     2712           821            0              17324          919380         1              4              100.00         10             
5000         7.4     2712           821            0              17324          919380         1              4              100.00         10             
6000         7.3     2712           821            0              17324          919380         1              4              100.00         10             
7000         7.2     2712           821            0              17324          919380         1              4              100.00         10             
8000         7.1     2712           821            0              17324          919380         1              4              100.00         10             
9000         7.1     2712           821            0              17324          919380         1              4              100.00         10             
10000        7.2     2712           821            0              17324          919380         1              4              100.00         10             
