time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              100.00         10             
1000         5       1632           544            0              17168          624188         1              2              100.00         10             
2000         5       1772           560            0              17168          624188         1              2              100.00         10             
3000         4.8     1772           560            0              17168          624188         1              2              100.00         10             
4000         4.9     1772           560            0              17168          624188         1              2              100.00         10             
5000         5.1     1772           560            0              17168          624188         1              2              100.00         10             
6000         5.1     1772           560            0              17168          624188         1              2              100.00         10             
7000         5.1     1772           560            0              17168          624188         1              2              100.00         10             
8000         5       1772           560            0              17168          624188         1              2              100.00         10             
9000         4.9     1772           560            0              17168          624188         1              2              100.00         10             
10000        4.8     1772           560            0              17168          624188         1              2              100.00         10             
