time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              100.00         10             
1000         5.8     2512           677            0              17064          771784         1              3              100.00         10             
2000         6.4     2708           695            0              17064          771784         1              3              100.00         10             
3000         6.4     2708           695            0              17064          771784         1              3              100.00         10             
4000         6       2708           695            0              17064          771784         1              3              100.00         10             
5000         6.1     2708           695            0              17064          771784         1              3              100.00         10             
6000         6.2     2708           695            0              17064          771784         1              3              100.00         10             
7000         6.4     2708           695            0              17064          771784         1              3              100.00         10             
8000         6.4     2708           695            0              17064          771784         1              3              100.00         10             
9000         6.4     2708           695            0              17064          771784         1              3              100.00         10             
10000        6.4     2708           695            0              17064          771784         1              3              100.00         10             
