Time[ms]    Caller                   Code  Description         
9           topic_5->node_1          1     msg 0 late. 8684us > 2000us
9           topic_5->node_0          1     msg 0 late. 8684us > 2000us
10          topic_5->node_4          1     msg 0 late. 9815us > 2000us
10          topic_5->node_3          1     msg 0 late. 9820us > 2000us
10          topic_5->node_2          1     msg 0 late. 9964us > 2000us
152         topic_5->node_3          1     msg 15 late. 2138us > 2000us
153         topic_5->node_2          1     msg 15 late. 2534us > 2000us
1013        topic_5->node_4          1     msg 101 late. 2503us > 2000us
1013        topic_5->node_3          1     msg 101 late. 2956us > 2000us
1042        topic_5->node_3          1     msg 104 late. 2041us > 2000us
2442        topic_5->node_0          1     msg 244 late. 2226us > 2000us
2442        topic_5->node_3          1     msg 244 late. 2332us > 2000us
3554        topic_5->node_0          1     msg 355 late. 3644us > 2000us
4582        topic_5->node_3          1     msg 458 late. 2217us > 2000us
4583        topic_5->node_2          1     msg 458 late. 2809us > 2000us
5193        topic_5->node_3          1     msg 519 late. 2346us > 2000us
5722        topic_5->node_2          1     msg 572 late. 2082us > 2000us
5723        topic_5->node_3          1     msg 572 late. 3047us > 2000us
8153        topic_5->node_1          1     msg 815 late. 2494us > 2000us
8552        topic_5->node_0          1     msg 855 late. 2344us > 2000us
8552        topic_5->node_1          1     msg 855 late. 2343us > 2000us
8553        topic_5->node_2          1     msg 855 late. 2722us > 2000us
8553        topic_5->node_4          1     msg 855 late. 2933us > 2000us
8553        topic_5->node_3          1     msg 855 late. 3287us > 2000us
9482        topic_5->node_1          1     msg 948 late. 2062us > 2000us
