node        topic       size[b]   received[#]   late[#]   too_late[#] lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]    duration[s]
node_0      topic_2     10        1000          2         0           0         559       217       156       2873      100         10        
node_1      topic_2     10        1000          2         0           0         569       223       136       3061      100         10        
