time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              100.00         10             
1000         0.31    400            258            0              16816          255244         1              2              100.00         10             
2000         1.3     668            275            0              16816          328976         1              2              100.00         10             
3000         1.7     668            275            0              16816          328976         1              2              100.00         10             
4000         1.9     668            275            0              16816          328976         1              2              100.00         10             
5000         1.9     668            275            0              16816          328976         1              2              100.00         10             
6000         2       668            275            0              16816          328976         1              2              100.00         10             
7000         2       668            275            0              16816          328976         1              2              100.00         10             
8000         2.1     668            275            0              16816          328976         1              2              100.00         10             
9000         2.1     668            275            0              16816          328976         1              2              100.00         10             
10000        2.1     668            275            0              16816          328976         1              2              100.00         10             
11000        2.2     668            275            0              16816          328976         1              2              100.00         10             
