time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              10.00          10             
1000         0.32    400            254            0              16752          255244         1              1              10.00          10             
2000         0.19    664            265            0              16752          328976         1              1              10.00          10             
3000         0.14    668            268            0              16752          328976         1              1              10.00          10             
4000         0.45    676            275            0              16752          328976         1              1              10.00          10             
5000         0.63    676            275            0              16752          328976         1              1              10.00          10             
6000         0.77    676            275            0              16752          328976         1              1              10.00          10             
7000         1       676            275            0              16752          328976         1              1              10.00          10             
8000         1.1     676            275            0              16752          328976         1              1              10.00          10             
9000         1.1     676            275            0              16752          328976         1              1              10.00          10             
10000        1.1     676            275            0              16752          328976         1              1              10.00          10             
11000        1.2     676            275            0              16752          328976         1              1              10.00          10             
12000        1.2     676            275            0              16752          328976         1              1              10.00          10             
13000        1.2     676            275            0              16752          328976         1              1              10.00          10             
14000        1.1     676            275            0              16752          328976         1              1              10.00          10             
15000        1.1     676            275            0              16752          328976         1              1              10.00          10             
16000        0.99    676            275            0              16752          328976         1              1              10.00          10             
