time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              10.00          10             
1000         0.6     1772           721            0              19052          550568         1              5              10.00          10             
2000         0.37    2696           771            0              19052          919360         1              5              10.00          10             
3000         0.27    2708           777            0              19052          919360         1              5              10.00          10             
4000         1.1     2732           800            0              19052          919360         1              5              10.00          10             
5000         1.6     2732           803            0              19052          919360         1              5              10.00          10             
6000         2       2732           803            0              19052          919360         1              5              10.00          10             
7000         2.2     2732           803            0              19052          919360         1              5              10.00          10             
8000         2.3     2732           803            0              19052          919360         1              5              10.00          10             
9000         2.4     2732           803            0              19052          919360         1              5              10.00          10             
10000        2.5     2732           803            0              19052          919360         1              5              10.00          10             
11000        2.5     2732           803            0              19052          919360         1              5              10.00          10             
12000        2.6     2732           803            0              19052          919360         1              5              10.00          10             
13000        2.7     2732           803            0              19052          919360         1              5              10.00          10             
14000        2.5     2732           803            0              19052          919360         1              5              10.00          10             
15000        2.3     2732           803            0              19052          919360         1              5              10.00          10             
16000        2.2     2732           803            0              19052          919360         1              5              10.00          10             
