time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              10.00          10             
1000         0.35    960            487            0              16872          402976         1              3              10.00          10             
2000         0.22    1488           525            0              16872          624172         1              3              10.00          10             
3000         0.16    1512           531            0              16872          624172         1              3              10.00          10             
4000         0.83    1528           546            0              16872          624172         1              3              10.00          10             
5000         1.2     1528           548            0              16872          624172         1              3              10.00          10             
6000         1.5     1528           548            0              16872          624172         1              3              10.00          10             
7000         1.6     1528           548            0              16872          624172         1              3              10.00          10             
8000         1.8     1528           548            0              16872          624172         1              3              10.00          10             
9000         1.9     1528           548            0              16872          624172         1              3              10.00          10             
10000        2       1528           548            0              16872          624172         1              3              10.00          10             
11000        2.1     1528           548            0              16872          624172         1              3              10.00          10             
12000        2.2     1528           548            0              16872          624172         1              3              10.00          10             
13000        2.2     1528           548            0              16872          624172         1              3              10.00          10             
14000        2.1     1528           548            0              16872          624172         1              3              10.00          10             
15000        1.9     1528           548            0              16872          624172         1              3              10.00          10             
16000        1.8     1528           548            0              16872          624172         1              3              10.00          10             
