node        topic       size[b]   received[#]   late[#]   too_late[#] lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]    duration[s]
node_0      topic_2     10        1001          1         0           0         402       72        249       2108      100         15        
node_1      topic_2     10        1001          1         0           0         404       74        229       2108      100         15        
