node        topic       size[b]   received[#]   late[#]   too_late[#] lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]    duration[s]
node_0      topic_4     10        1001          1         0           0         406       112       229       2807      100         15        
node_1      topic_4     10        1001          1         0           0         397       102       253       2911      100         15        
node_2      topic_4     10        1001          1         0           0         390       110       255       2959      100         15        
node_3      topic_4     10        1001          1         0           0         354       101       240       2807      100         15        
