node        topic       size[b]   received[#]   late[#]   too_late[#] lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]    duration[s]
node_0      topic_2     10        1001          0         0           0         360       42        240       665       100         15        
node_1      topic_2     10        1001          0         0           0         360       41        243       665       100         15        
