time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              10.00          10             
1000         0.52    1436           711            0              17188          550568         1              5              10.00          10             
2000         0.31    2360           753            0              19236          919360         1              5              10.00          10             
3000         0.22    2368           761            0              19236          919360         1              5              10.00          10             
4000         0.87    2392           786            0              19236          919360         1              5              10.00          10             
5000         1.2     2396           789            0              19236          919360         1              5              10.00          10             
6000         1.5     2396           789            0              19236          919360         1              5              10.00          10             
7000         1.7     2396           789            0              19236          919360         1              5              10.00          10             
8000         1.8     2396           789            0              19236          919360         1              5              10.00          10             
9000         2       2396           789            0              19236          919360         1              5              10.00          10             
10000        2       2396           789            0              19236          919360         1              5              10.00          10             
11000        2.2     2396           789            0              19236          919360         1              5              10.00          10             
12000        2.3     2396           789            0              19236          919360         1              5              10.00          10             
13000        2.4     2396           789            0              19236          919360         1              5              10.00          10             
14000        2.2     2396           789            0              19236          919360         1              5              10.00          10             
15000        2.1     2396           789            0              19236          919360         1              5              10.00          10             
16000        2       2396           789            0              19236          919360         1              5              10.00          10             
