time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              10.00          10             
1000         0.4     400            255            0              16884          255244         1              1              10.00          10             
2000         0.24    668            268            0              16884          328976         1              1              10.00          10             
3000         0.17    672            270            0              16884          328976         1              1              10.00          10             
4000         0.41    676            275            0              16884          328976         1              1              10.00          10             
5000         0.55    676            275            0              16884          328976         1              1              10.00          10             
6000         0.66    676            275            0              16884          328976         1              1              10.00          10             
7000         0.73    676            275            0              16884          328976         1              1              10.00          10             
8000         0.78    676            275            0              16884          328976         1              1              10.00          10             
9000         0.82    676            275            0              16884          328976         1              1              10.00          10             
10000        0.85    676            275            0              16884          328976         1              1              10.00          10             
11000        0.9     676            275            0              16884          328976         1              1              10.00          10             
12000        0.98    676            275            0              16884          328976         1              1              10.00          10             
13000        1       676            275            0              16884          328976         1              1              10.00          10             
14000        0.97    676            275            0              16884          328976         1              1              10.00          10             
15000        0.91    676            275            0              16884          328976         1              1              10.00          10             
16000        0.85    676            275            0              16884          328976         1              1              10.00          10             
