time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              10.00          10             
1000         0.32    964            488            0              17096          402976         1              3              10.00          10             
2000         0.25    1492           527            0              19144          624172         1              3              10.00          10             
3000         0.18    1512           532            0              19144          624172         1              3              10.00          10             
4000         0.84    1528           548            0              19144          624172         1              3              10.00          10             
5000         1.2     1528           549            0              19144          624172         1              3              10.00          10             
6000         1.5     1592           549            0              19276          624172         1              3              10.00          10             
7000         1.6     1592           549            0              19276          624172         1              3              10.00          10             
8000         1.8     1592           549            0              19276          624172         1              3              10.00          10             
9000         1.9     1592           549            0              19276          624172         1              3              10.00          10             
10000        1.9     1592           549            0              19276          624172         1              3              10.00          10             
11000        2       1592           549            0              19276          624172         1              3              10.00          10             
12000        2.1     1592           549            0              19276          624172         1              3              10.00          10             
13000        2.1     1592           549            0              19276          624172         1              3              10.00          10             
14000        2       1592           549            0              19276          624172         1              3              10.00          10             
15000        1.8     1592           549            0              19276          624172         1              3              10.00          10             
16000        1.7     1592           549            0              19276          624172         1              3              10.00          10             
