time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              100.00         10             
1000         0.24    404            261            0              17148          255244         1              4              100.00         10             
2000         1.2     676            281            0              17148          328976         1              4              100.00         10             
3000         1.5     676            281            0              17148          328976         1              4              100.00         10             
4000         1.6     676            281            0              17148          328976         1              4              100.00         10             
5000         1.7     676            281            0              17148          328976         1              4              100.00         10             
6000         1.8     676            281            0              17148          328976         1              4              100.00         10             
7000         1.8     676            281            0              17148          328976         1              4              100.00         10             
8000         1.9     676            281            0              17148          328976         1              4              100.00         10             
9000         1.9     676            281            0              17148          328976         1              4              100.00         10             
10000        1.9     676            281            0              17148          328976         1              4              100.00         10             
11000        2       676            281            0              17148          328976         1              4              100.00         10             
