time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              10.00          10             
1000         0.4     676            365            0              16772          329112         1              2              10.00          10             
2000         0.26    1072           383            0              18820          476576         1              2              10.00          10             
3000         0.18    1080           388            0              18820          476576         1              2              10.00          10             
4000         0.74    1092           467            0              18820          476576         1              2              10.00          10             
5000         1.1     1096           402            0              18820          476576         1              2              10.00          10             
6000         1.3     1096           402            0              18820          476576         1              2              10.00          10             
7000         1.5     1096           402            0              18820          476576         1              2              10.00          10             
8000         1.6     1096           402            0              18820          476576         1              2              10.00          10             
9000         1.6     1096           468            0              18820          476576         1              2              10.00          10             
10000        1.7     1096           402            0              18820          476576         1              2              10.00          10             
11000        1.7     1096           402            0              18820          476576         1              2              10.00          10             
12000        1.8     1096           402            0              18820          476576         1              2              10.00          10             
13000        1.8     1096           402            0              18820          476576         1              2              10.00          10             
14000        1.7     1096           402            0              18820          476576         1              2              10.00          10             
15000        1.6     1096           402            0              18820          476576         1              2              10.00          10             
16000        1.5     1096           402            0              18820          476576         1              2              10.00          10             
