time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              10.00          10             
1000         0.5     1228           593            0              17148          476836         1              4              10.00          10             
2000         0.34    1888           627            0              19196          771764         1              4              10.00          10             
3000         0.24    1956           634            0              19196          771764         1              4              10.00          10             
4000         0.95    1976           656            0              19196          771764         1              4              10.00          10             
5000         1.3     1980           658            0              19196          771764         1              4              10.00          10             
6000         1.6     1980           658            0              19196          771764         1              4              10.00          10             
7000         1.8     1980           658            0              19196          771764         1              4              10.00          10             
8000         2       1980           658            0              19196          771764         1              4              10.00          10             
9000         2.1     1980           658            0              19196          771764         1              4              10.00          10             
10000        2.2     1980           658            0              19196          771764         1              4              10.00          10             
11000        2.3     1980           658            0              19196          771764         1              4              10.00          10             
12000        2.3     1980           658            0              19196          771764         1              4              10.00          10             
13000        2.4     1980           658            0              19196          771764         1              4              10.00          10             
14000        2.2     1980           658            0              19196          771764         1              4              10.00          10             
15000        2.1     1980           658            0              19196          771764         1              4              10.00          10             
16000        2       1980           658            0              19196          771764         1              4              10.00          10             
