time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              100.00         10             
1000         3.5     1380           528            0              18804          624176         1              2              100.00         10             
2000         3.2     1520           541            0              18804          624176         1              2              100.00         10             
3000         3.3     1520           541            0              18804          624176         1              2              100.00         10             
4000         3.3     1520           541            0              18804          624176         1              2              100.00         10             
5000         3.2     1520           541            0              18804          624176         1              2              100.00         10             
6000         3.2     1520           541            0              18804          624176         1              2              100.00         10             
7000         3.2     1520           541            0              18804          624176         1              2              100.00         10             
8000         3.2     1520           541            0              18804          624176         1              2              100.00         10             
9000         3.1     1520           541            0              18804          624176         1              2              100.00         10             
10000        3.1     1520           541            0              18804          624176         1              2              100.00         10             
