time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         5.6     2588           916            0              21212          1066828        1              5              100.00         10             
2000         5.2     2736           931            0              21212          1066828        1              5              100.00         10             
3000         5.1     2736           931            0              21212          1066828        1              5              100.00         10             
4000         5.1     2736           931            0              21212          1066828        1              5              100.00         10             
5000         4.9     2736           931            0              21212          1066828        1              5              100.00         10             
6000         4.8     2736           931            0              21212          1066828        1              5              100.00         10             
7000         4.7     2736           931            0              21212          1066828        1              5              100.00         10             
8000         4.6     2736           931            0              21212          1066828        1              5              100.00         10             
9000         4.5     2736           931            0              21212          1066828        1              5              100.00         10             
10000        4.4     2736           931            0              21212          1066828        1              5              100.00         10             
