time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         5       3156           922            0              19600          1066828        1              5              100.00         10             
2000         4.5     3288           940            0              19600          1066828        1              5              100.00         10             
3000         4.2     3288           940            0              19600          1066828        1              5              100.00         10             
4000         4.2     3288           940            0              19600          1066828        1              5              100.00         10             
5000         4.2     3288           940            0              19600          1066828        1              5              100.00         10             
6000         4.2     3288           940            0              19600          1066828        1              5              100.00         10             
7000         4.2     3288           940            0              19600          1066828        1              5              100.00         10             
8000         4.2     3288           940            0              19600          1066828        1              5              100.00         10             
9000         4.3     3288           940            0              19600          1066828        1              5              100.00         10             
10000        4.3     3288           940            0              19600          1066828        1              5              100.00         10             
