time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              100.00         10             
1000         4.4     1896           655            0              19544          771768         1              3              100.00         10             
2000         4.4     2028           664            0              19544          771768         1              3              100.00         10             
3000         4.3     2028           664            0              19544          771768         1              3              100.00         10             
4000         4.2     2028           664            0              19544          771768         1              3              100.00         10             
5000         4.2     2028           664            0              19544          771768         1              3              100.00         10             
6000         4.2     2028           664            0              19544          771768         1              3              100.00         10             
7000         4.3     2028           664            0              19544          771768         1              3              100.00         10             
8000         4.4     2028           664            0              19544          771768         1              3              100.00         10             
9000         4.5     2028           664            0              19544          771768         1              3              100.00         10             
10000        4.5     2028           664            0              19544          771768         1              3              100.00         10             
