time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              100.00         10             
1000         3.7     1028           402            0              16916          476580         1              1              100.00         10             
2000         3.6     1164           414            0              16916          476580         1              1              100.00         10             
3000         3.7     1164           414            0              16916          476580         1              1              100.00         10             
4000         3.8     1164           414            0              16916          476580         1              1              100.00         10             
5000         3.8     1164           414            0              16916          476580         1              1              100.00         10             
6000         3.7     1164           414            0              16916          476580         1              1              100.00         10             
7000         3.6     1164           414            0              16916          476580         1              1              100.00         10             
8000         3.5     1164           414            0              16916          476580         1              1              100.00         10             
9000         3.4     1164           414            0              16916          476580         1              1              100.00         10             
10000        3.5     1164           414            0              16916          476580         1              1              100.00         10             
