time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              100.00         10             
1001         5.1     1792           659            0              25396          771768         1              3              100.00         10             
2000         4.7     1936           677            0              25396          771768         1              3              100.00         10             
3000         4.5     1936           677            0              25396          771768         1              3              100.00         10             
4000         4.4     1936           677            0              25396          771768         1              3              100.00         10             
5000         4.2     1936           677            0              25396          771768         1              3              100.00         10             
6000         4.1     1936           677            0              25396          771768         1              3              100.00         10             
7000         4       1936           677            0              25396          771768         1              3              100.00         10             
8000         3.9     1936           677            0              25396          771768         1              3              100.00         10             
9000         3.9     1936           677            0              25396          771768         1              3              100.00         10             
10000        3.8     1936           677            0              25396          771768         1              3              100.00         10             
